asn,addr,parent,old_parent,info
1221,b381,b868,,res triggered
1221,8772,b868,,res triggered
1221,1162,b868,,res triggered
1627,c280,8772,,res triggered
1830,c280,8772,,res triggered
2439,1162,b868,,res triggered
3248,c280,b868,8772,parent update
3251,c280,b868,,res triggered
4266,1162,b868,,res triggered
5684,1162,b381,b868,parent update
5890,1162,b381,,res triggered
5968,c280,8772,b868,parent update
8038,1162,8772,b381,parent update
8529,1162,8772,,res triggered
9950,1162,8772,,res triggered
12589,1162,8772,,res triggered
12792,1162,8772,,res triggered
65447,c280,b868,8772,parent update
66381,c280,8772,b868,parent update
206329,c280,b868,8772,parent update
210632,c280,b868,8772,parent update
214652,c280,8772,b868,parent update
226263,c280,b868,8772,parent update
234424,c280,8772,b868,parent update
242179,c280,b868,8772,parent update
246969,c280,b868,8772,parent update
249730,c280,b868,8772,parent update
254034,c280,b868,8772,parent update
257282,c280,8772,b868,parent update
366983,c280,b868,8772,parent update
369460,c280,8772,b868,parent update
382127,c280,b868,8772,parent update
386187,c280,b868,8772,parent update
390896,c280,b868,8772,parent update
392723,c280,8772,b868,parent update
